item_id,vendor_id,name,price
1001,1,Item_1001,431
1002,1,Item_1002,323
1003,1,Item_1003,233
1004,2,Item_1004,351
1005,2,Item_1005,64
1006,2,Item_1006,96
1007,3,Item_1007,435
1008,3,Item_1008,221
1009,3,Item_1009,480
1010,4,Item_1010,241
1011,4,Item_1011,475
1012,4,Item_1012,264
1013,5,Item_1013,457
1014,5,Item_1014,156
1015,5,Item_1015,257
1016,6,Item_1016,174
1017,6,Item_1017,189
1018,6,Item_1018,465
1019,7,Item_1019,500
1020,7,Item_1020,446
1021,7,Item_1021,283
1022,8,Item_1022,327
1023,8,Item_1023,78
1024,8,Item_1024,489
1025,9,Item_1025,118
1026,9,Item_1026,296
1027,9,Item_1027,244
1028,10,Item_1028,143
1029,10,Item_1029,249
1030,10,Item_1030,346
1031,11,Item_1031,149
1032,11,Item_1032,179
1033,11,Item_1033,258
1034,12,Item_1034,297
1035,12,Item_1035,447
1036,12,Item_1036,187
1037,13,Item_1037,492
1038,13,Item_1038,431
1039,13,Item_1039,362
1040,14,Item_1040,409
1041,14,Item_1041,339
1042,14,Item_1042,241
1043,15,Item_1043,381
1044,15,Item_1044,164
1045,15,Item_1045,449
1046,16,Item_1046,388
1047,16,Item_1047,469
1048,16,Item_1048,464
1049,17,Item_1049,221
1050,17,Item_1050,97
1051,17,Item_1051,265
1052,18,Item_1052,112
1053,18,Item_1053,404
1054,18,Item_1054,396
1055,19,Item_1055,471
1056,19,Item_1056,37
1057,19,Item_1057,89
1058,20,Item_1058,465
1059,20,Item_1059,349
1060,20,Item_1060,337
1061,21,Item_1061,316
1062,21,Item_1062,244
1063,21,Item_1063,308
1064,22,Item_1064,68
1065,22,Item_1065,419
1066,22,Item_1066,45
1067,23,Item_1067,44
1068,23,Item_1068,174
1069,23,Item_1069,121
1070,24,Item_1070,183
1071,24,Item_1071,53
1072,24,Item_1072,259
1073,25,Item_1073,121
1074,25,Item_1074,410
1075,25,Item_1075,247
1076,26,Item_1076,400
1077,26,Item_1077,69
1078,26,Item_1078,49
1079,27,Item_1079,347
1080,27,Item_1080,384
1081,27,Item_1081,467
1082,28,Item_1082,77
1083,28,Item_1083,416
1084,28,Item_1084,139
1085,29,Item_1085,378
1086,29,Item_1086,427
1087,29,Item_1087,301
1088,30,Item_1088,317
1089,30,Item_1089,98
1090,30,Item_1090,446
1091,31,Item_1091,171
1092,31,Item_1092,156
1093,31,Item_1093,367
1094,32,Item_1094,397
1095,32,Item_1095,332
1096,32,Item_1096,51
1097,33,Item_1097,65
1098,33,Item_1098,429
1099,33,Item_1099,332
1100,34,Item_1100,139
1101,34,Item_1101,457
1102,34,Item_1102,259
1103,35,Item_1103,64
1104,35,Item_1104,181
1105,35,Item_1105,148
1106,36,Item_1106,309
1107,36,Item_1107,242
1108,36,Item_1108,239
1109,37,Item_1109,427
1110,37,Item_1110,446
1111,37,Item_1111,129
1112,38,Item_1112,280
1113,38,Item_1113,292
1114,38,Item_1114,91
1115,39,Item_1115,38
1116,39,Item_1116,56
1117,39,Item_1117,191
1118,40,Item_1118,253
1119,40,Item_1119,97
1120,40,Item_1120,480
1121,41,Item_1121,496
1122,41,Item_1122,45
1123,41,Item_1123,270
1124,42,Item_1124,466
1125,42,Item_1125,317
1126,42,Item_1126,52
1127,43,Item_1127,158
1128,43,Item_1128,434
1129,43,Item_1129,43
1130,44,Item_1130,205
1131,44,Item_1131,221
1132,44,Item_1132,445
1133,45,Item_1133,425
1134,45,Item_1134,445
1135,45,Item_1135,259
1136,46,Item_1136,481
1137,46,Item_1137,443
1138,46,Item_1138,34
1139,47,Item_1139,78
1140,47,Item_1140,52
1141,47,Item_1141,98
1142,48,Item_1142,494
1143,48,Item_1143,144
1144,48,Item_1144,373
1145,49,Item_1145,391
1146,49,Item_1146,303
1147,49,Item_1147,248
1148,50,Item_1148,365
1149,50,Item_1149,178
1150,50,Item_1150,278
